orderNumber,orderDatetime,itemNumber,manageNumber,itemName,price,units,subtotal
423913-20260426-0796123857,2026-04-26T20:09:50+0900,R005,advancedlotion,【SKINFONIA アドバンスド ローション】 化粧水 150ml 敏感肌 セラミド ビタミンC 高保湿 ドクターズコスメ 乾燥肌 低刺激 肌荒れ 赤み ゆらぎ 毛穴 キメ ハリ エイジングケア しみ シワ くすみ 薄肌 うるおい ツヤ トーンアップ 柔肌 透明感 さっぱり,3990,1,3990
423913-20260426-0693523994,2026-04-26T19:25:54+0900,R001,balancerepairserum,【SKINFONIA バランスリペアセラム】30ml 美容液 敏感肌 セラミド ナイアシンアミド 保湿 導入美容液 ドクターズコスメ 乾燥肌 低刺激 肌荒れ 赤み ゆらぎ エイジングケア しみ シワ くすみ 薄肌 低刺激 うるおい ツヤ ハリ 柔肌 潤い 透明感 スキンケア,5490,1,5490
